"";"Občina";"Leto";"Število.dokončanih.stanovanj.na.1000.prebivalcev";"Povprečna.površina.dokončanih.stanovanj..m2."
"339";"Cerknica";2017;"2.2";182
"340";"Cerkno";2017;NA;NA
"341";"Cerkno";2002;"2.9";137
"342";"Cerkno";2003;"1.4";128
"343";"Cerkno";2004;"2.6";117
"344";"Cerkno";2005;"0.6";103
"345";"Cerkno";2006;"2.8";137
"346";"Cerkno";2007;"1.4";182
"347";"Cerkno";2008;"1.2";145
"348";"Cerkno";2009;"1.5";186
"349";"Cerkno";2010;"1.7";155
"350";"Cerkno";2011;"2.3";151
"351";"Cerkno";2012;"1.3";161
"352";"Cerkno";2013;"0.4";232
"353";"Cerkno";2014;"2.8";157
"354";"Cerkno";2015;"1.3";164
"355";"Cerkno";2016;"2.4";180
"356";"Cerkno";2017;"3.0";208
"357";"Cerkvenjak";2017;NA;NA
"358";"Cerkvenjak";2002;"4.7";145
"359";"Cerkvenjak";2003;"3.7";136
"360";"Cerkvenjak";2004;"7.1";165
"361";"Cerkvenjak";2005;"5.2";188
"362";"Cerkvenjak";2006;"5.2";197
"363";"Cerkvenjak";2007;"3.3";173
"364";"Cerkvenjak";2008;"5.8";206
"365";"Cerkvenjak";2009;"4.4";118
"366";"Cerkvenjak";2010;"4.4";147
"367";"Cerkvenjak";2011;"11.5";129
"368";"Cerkvenjak";2012;"2.5";149
"369";"Cerkvenjak";2013;"4.0";149
"370";"Cerkvenjak";2014;"2.0";170
"371";"Cerkvenjak";2015;"1.9";181
"372";"Cerkvenjak";2016;"4.9";134
"373";"Cerkvenjak";2017;"2.9";253
"374";"Cirkulane";2017;NA;NA
"375";"Cirkulane";2002;NA;NA
"376";"Cirkulane";2003;NA;NA
"377";"Cirkulane";2004;NA;NA
"378";"Cirkulane";2005;NA;NA
"379";"Cirkulane";2006;NA;NA
"380";"Cirkulane";2007;"0.0";0
"381";"Cirkulane";2008;"0.0";0
"382";"Cirkulane";2009;"0.0";0
"383";"Cirkulane";2010;"1.7";107
"384";"Cirkulane";2011;"2.2";164
"385";"Cirkulane";2012;"0.4";166
"386";"Cirkulane";2013;"0.0";0
"387";"Cirkulane";2014;"0.4";64
"388";"Cirkulane";2015;"1.3";107
"389";"Cirkulane";2016;"2.2";90
"390";"Cirkulane";2017;"1.3";65
"391";"Črenšovci";2017;NA;NA
"392";"Črenšovci";2002;"3.7";171
"393";"Črenšovci";2003;"1.8";135
"394";"Črenšovci";2004;"3.2";223
"395";"Črenšovci";2005;"1.4";188
"396";"Črenšovci";2006;"1.8";164
"397";"Črenšovci";2007;"4.4";153
"398";"Črenšovci";2008;"4.3";133
"399";"Črenšovci";2009;"5.5";135
"400";"Črenšovci";2010;"2.9";183
"401";"Črenšovci";2011;"2.9";166
"402";"Črenšovci";2012;"2.7";139
"403";"Črenšovci";2013;"4.7";196
"404";"Črenšovci";2014;"2.2";156
"405";"Črenšovci";2015;"1.3";119
"406";"Črenšovci";2016;"4.5";118
"407";"Črenšovci";2017;"0.8";75
"408";"Črna na Koroškem";2017;NA;NA
"409";"Črna na Koroškem";2002;"4.3";60
"410";"Črna na Koroškem";2003;"1.9";77
"411";"Črna na Koroškem";2004;"1.6";81
"412";"Črna na Koroškem";2005;"1.1";65
"413";"Črna na Koroškem";2006;"3.4";54
"414";"Črna na Koroškem";2007;"0.0";0
"415";"Črna na Koroškem";2008;"0.5";184
"416";"Črna na Koroškem";2009;"0.8";187
"417";"Črna na Koroškem";2010;"0.6";120
"418";"Črna na Koroškem";2011;"2.0";110
"419";"Črna na Koroškem";2012;"0.3";195
"420";"Črna na Koroškem";2013;"1.2";143
"421";"Črna na Koroškem";2014;"0.9";154
"422";"Črna na Koroškem";2015;"0.6";120
"423";"Črna na Koroškem";2016;"1.8";177
"424";"Črna na Koroškem";2017;"1.5";119
"425";"Črnomelj";2017;NA;NA
"426";"Črnomelj";2002;"1.9";70
"427";"Črnomelj";2003;"1.5";58
"428";"Črnomelj";2004;"4.1";79
"429";"Črnomelj";2005;"0.7";87
"430";"Črnomelj";2006;"3.5";74
"431";"Črnomelj";2007;"1.2";117
"432";"Črnomelj";2008;"2.2";97
"433";"Črnomelj";2009;"2.0";122
"434";"Črnomelj";2010;"1.8";133
"435";"Črnomelj";2011;"1.7";148
"436";"Črnomelj";2012;"5.0";70
"437";"Črnomelj";2013;"1.8";145
"438";"Črnomelj";2014;"0.8";102
"439";"Črnomelj";2015;"1.6";92
"440";"Črnomelj";2016;"1.0";149
"441";"Črnomelj";2017;"0.8";179
"442";"Destrnik";2017;NA;NA
"443";"Destrnik";2002;"2.7";141
"444";"Destrnik";2003;"5.0";102
"445";"Destrnik";2004;"3.8";148
"446";"Destrnik";2005;"3.0";139
"447";"Destrnik";2006;"3.4";128
"448";"Destrnik";2007;"1.5";166
"449";"Destrnik";2008;"3.7";136
"450";"Destrnik";2009;"1.1";80
"451";"Destrnik";2010;"0.8";277
"452";"Destrnik";2011;"3.0";157
"453";"Destrnik";2012;"1.9";170
"454";"Destrnik";2013;"1.5";174
"455";"Destrnik";2014;"0.8";202
"456";"Destrnik";2015;"1.2";88
"457";"Destrnik";2016;"2.7";109
"458";"Destrnik";2017;"1.6";205
"459";"Divača";2017;NA;NA
"460";"Divača";2002;"3.3";138
"461";"Divača";2003;"5.4";117
"462";"Divača";2004;"2.8";115
"463";"Divača";2005;"1.3";83
"464";"Divača";2006;"4.1";135
"465";"Divača";2007;"16.8";115
"466";"Divača";2008;"6.8";129
"467";"Divača";2009;"3.1";155
"468";"Divača";2010;"3.1";213
"469";"Divača";2011;"2.1";136
"470";"Divača";2012;"1.5";202
"471";"Divača";2013;"2.5";200
"472";"Divača";2014;"2.3";174
"473";"Divača";2015;"1.8";212
"474";"Divača";2016;"2.0";198
"475";"Divača";2017;"0.5";160
"476";"Dobje";2017;NA;NA
"477";"Dobje";2002;"2.0";95
"478";"Dobje";2003;"6.0";149
"479";"Dobje";2004;"5.9";108
"480";"Dobje";2005;"4.0";104
"481";"Dobje";2006;"4.9";83
"482";"Dobje";2007;"5.0";175
"483";"Dobje";2008;"1.0";258
"484";"Dobje";2009;"0.0";0
"485";"Dobje";2010;"4.1";180
"486";"Dobje";2011;"3.1";177
"487";"Dobje";2012;"3.1";96
"488";"Dobje";2013;"6.2";157
"489";"Dobje";2014;"1.0";181
"490";"Dobje";2015;"2.0";113
"491";"Dobje";2016;"1.0";154
"492";"Dobje";2017;"3.1";208
"493";"Dobrepolje";2017;NA;NA
"494";"Dobrepolje";2002;"5.3";122
"495";"Dobrepolje";2003;"3.6";137
"496";"Dobrepolje";2004;"2.7";185
"497";"Dobrepolje";2005;"2.4";164
"498";"Dobrepolje";2006;"8.1";96
"499";"Dobrepolje";2007;"3.5";204
"500";"Dobrepolje";2008;"6.4";155
"501";"Dobrepolje";2009;"13.6";89
"502";"Dobrepolje";2010;"4.6";145
"503";"Dobrepolje";2011;"3.8";193
"504";"Dobrepolje";2012;"2.5";154
"505";"Dobrepolje";2013;"1.5";156
"506";"Dobrepolje";2014;"1.8";167
"507";"Dobrepolje";2015;"1.3";207
"508";"Dobrepolje";2016;"2.8";193
"509";"Dobrepolje";2017;"1.0";199
"510";"Dobrna";2017;NA;NA
"511";"Dobrna";2002;"1.4";109
"512";"Dobrna";2003;"5.7";148
"513";"Dobrna";2004;"1.9";96
"514";"Dobrna";2005;"2.9";137
"515";"Dobrna";2006;"2.4";127
"516";"Dobrna";2007;"3.3";157
"517";"Dobrna";2008;"1.9";155
"518";"Dobrna";2009;"2.8";155
"519";"Dobrna";2010;"2.3";177
"520";"Dobrna";2011;"4.1";178
"521";"Dobrna";2012;"1.4";240
"522";"Dobrna";2013;"1.8";201
"523";"Dobrna";2014;"1.4";165
"524";"Dobrna";2015;"0.9";113
"525";"Dobrna";2016;"1.8";145
"526";"Dobrna";2017;"2.3";169
"527";"Dobrova - Polhov Gradec";2017;NA;NA
"528";"Dobrova - Polhov Gradec";2002;"3.5";114
"529";"Dobrova - Polhov Gradec";2003;"1.0";178
"530";"Dobrova - Polhov Gradec";2004;"1.5";157
"531";"Dobrova - Polhov Gradec";2005;"1.0";166
"532";"Dobrova - Polhov Gradec";2006;"2.6";199
"533";"Dobrova - Polhov Gradec";2007;"2.7";166
"534";"Dobrova - Polhov Gradec";2008;"2.9";158
"535";"Dobrova - Polhov Gradec";2009;"1.5";174
"536";"Dobrova - Polhov Gradec";2010;"1.1";188
