"Vrednost opravljenih gradbenih del po: INVESTITOR, KLASIFIKACIJA VRST"
"OBJEKTOV [CC-SI], LETO , MERITVE"

"Investitor";"Vrsta objekta";"Leto";"Tip gradbene aktivnosti - SKUPAJ";"Novogradnja";"Poveèava";"Rekonstrukcija in sprememba namembnosti";"Investicijska vzdrževalna dela";"Redna vzdrževalna dela"
"Investitor - SKUPAJ"
" ";"CC_SI - SKUPAJ"
" ";" ";"2011";21251767;5158695;z;z;5090809;813202
" ";" ";"2012";12433077;6117004;z;4583007;z;1649043
" ";" ";"2013";12677893;5757443;z;5415245;z;z
" ";" ";"2014";20886954;7944933;z;10107720;z;1622987
" ";" ";"2015";15383941;4441894;-;6970050;-;3971997
" ";" ";"2016";5394497;z;-;567873;z;4380610
" ";" ";"2017";14037118;6347559;-;2514371;-;5175188
" ";"1262 Muzeji in knjižnice"
" ";" ";"2010";z;1430351;-;z;1766741;95823
" ";" ";"2011";7421561;2590143;z;z;2275932;26009
" ";" ";"2012";9546771;z;z;8606973;z;685711
" ";" ";"2013";999672;-;-;732491;-;267181
" ";" ";"2014";5052342;z;-;2324971;z;1718580
" ";" ";"2015";3336344;324906;-;2015033;196067;800338
" ";" ";"2016";1424656;z;-;905259;z;190516
" ";" ";"2017";2504883;z;-;z;z;695258
" ";"1263 Stavbe za izobraževanje in znanstvenoraziskovalno delo"
" ";" ";"2010";z;38661070;z;z;10188991;800038
" ";" ";"2011";102969394;69666369;4501176;12379591;13522012;2900246
" ";" ";"2012";94181611;70028280;z;8250049;z;14991396
" ";" ";"2013";134033727;82506582;5057032;23058508;3865440;19546164
" ";" ";"2014";112993288;44788814;6883593;24805565;3211585;33303732
" ";" ";"2015";58240881;19905251;3688008;21660840;461829;12524952
" ";" ";"2016";41456090;13872988;4812857;13279242;121440;9369564
" ";" ";"2017";57318667;23035483;4803864;13220576;351064;15907680
" ";"1264 Stavbe za zdravstveno oskrbo"
" ";" ";"2010";27302874;11896729;z;z;5945638;489888
" ";" ";"2011";33503281;14904621;z;z;9276798;1670448
" ";" ";"2012";44416518;18629367;z;6820511;z;18093509
" ";" ";"2013";21800517;9865985;z;4835786;z;6690926
" ";" ";"2014";z;10243741;z;5278157;z;3839569
" ";" ";"2015";49408821;36103060;z;8198900;z;4986224
" ";" ";"2016";19505750;z;z;5276894;z;4995758
" ";" ";"2017";22235903;6530388;z;8368358;z;6630181
" ";"1265 Stavbe za šport"
" ";" ";"2010";129817121;124578405;z;z;33765;2327
" ";" ";"2011";25643281;21233354;1824956;952071;1580605;52295
" ";" ";"2012";17514707;z;z;6095713;-;981429
" ";" ";"2013";7471262;z;-;1594640;z;662298
" ";" ";"2014";z;3445717;-;z;z;859376
" ";" ";"2015";21274589;19470708;z;778237;z;730015
" ";" ";"2016";5462349;z;z;1230698;-;826627
" ";" ";"2017";11781715;8882140;12061;462162;-;2425353
" ";"127 Druge nestanovanjske stavbe"
" ";" ";"2010";42385568;21368969;686384;13226091;5226508;1877617
" ";" ";"2011";73231037;47423213;1290705;5777338;15020254;3719527
" ";" ";"2012";29475295;10798062;z;7818162;z;8553074
" ";" ";"2013";32368934;16060405;718060;6767240;1474293;7348936
" ";" ";"2014";32112451;21046273;300597;3696506;743629;6325445
" ";" ";"2015";35851863;15242170;z;9717483;z;z
" ";" ";"2016";42577400;23497640;z;12948062;z;4902524
" ";" ";"2017";44330749;22587082;1559861;7731247;117785;12334774
" ";"1271 Nestanovanjske kmetijske stavbe"
" ";" ";"2010";5947095;4720556;z;889721;z;z
" ";" ";"2011";4310585;2513485;z;413398;z;324297
" ";" ";"2012";8975157;7343506;z;824454;z;717649
" ";" ";"2013";9029066;7085802;z;z;-;959916
" ";" ";"2014";10855904;9400658;180249;z;z;743367
" ";" ";"2015";6153148;3761162;z;1376891;z;z
" ";" ";"2016";7117729;5150707;23732;1299820;124348;519123
" ";" ";"2017";18038393;12728199;194375;949139;-;4166680
" ";"1272 Obredne stavbe"
" ";" ";"2010";4731242;1052597;z;1839166;z;194567
" ";" ";"2011";6222369;1055438;z;2006928;z;50878
" ";" ";"2012";4525045;z;-;1762469;z;1607114
" ";" ";"2013";7028192;1346469;z;2325885;z;2690858
" ";" ";"2014";4709469;z;z;1355726;z;1871493
" ";" ";"2015";6819876;678664;177614;3842652;468338;1652608
" ";" ";"2016";15277779;11315268;151148;2285772;109090;1416501
" ";" ";"2017";7652872;3511056;z;1896502;z;1798531
" ";"1273 Kulturna dedišèina, ki se ne uporablja v druge namene"
" ";" ";"2010";2644317;164243;-;1912659;z;z
" ";" ";"2011";7858556;1189589;-;1571385;4991126;106456
" ";" ";"2012";5326074;z;-;3479737;z;643770
" ";" ";"2013";2651924;891805;-;458150;1244841;57128
" ";" ";"2014";1299330;z;-;z;z;90914
" ";" ";"2015";5241020;556998;-;1801729;2734841;147452
" ";" ";"2016";620204;336719;-;113803;z;z
" ";" ";"2017";2276458;1307274;-;631302;45747;292135
" ";"1274 Druge stavbe, ki niso uvršèene drugje"
" ";" ";"2010";29062914;15431573;z;8584545;z;1456938
" ";" ";"2011";54839527;42664701;z;1785626;z;3237897
" ";" ";"2012";10649019;z;451804;1751502;z;5584540
" ";" ";"2013";13659752;6736329;147036;z;z;3641033
" ";" ";"2014";15247748;9805207;z;1777411;z;3619671
" ";" ";"2015";17637819;10245347;z;2696211;z;3391843
" ";" ";"2016";19561688;6694947;z;9248666;z;z
" ";" ";"2017";16363026;5040553;z;4254304;z;6077429
" ";"2 GRADBENI INŽENIRSKI OBJEKTI"
" ";" ";"2010";1312945840;714634641;3284191;217251118;169017510;208758381
" ";" ";"2011";1084864150;480535723;4760949;182734931;227184459;189648089
" ";" ";"2012";913165854;456394532;1850185;216404152;-;238516985
" ";" ";"2013";957316683;399726471;6173928;244065062;-;307351222
" ";" ";"2014";1268808934;581622441;6188063;292221361;-;388777070
" ";" ";"2015";1153587905;459641916;6113334;292813192;-;395019464
" ";" ";"2016";866796231;377491719;2421041;208980694;-;277902778
" ";" ";"2017";988721278;454269582;5970833;244148257;-;284332606
" ";"21 Objekti prometne infrastrukture"
" ";" ";"2010";789934587;z;z;165915249;z;179715466
" ";" ";"2011";628017284;129521771;z;138758355;192501975;z
" ";" ";"2012";473419599;137031770;594390;159909768;-;175883670
" ";" ";"2013";506987507;86313032;3282278;183580847;-;233811350
" ";" ";"2014";658956433;z;z;197563812;-;291723970
" ";" ";"2015";679309534;155227444;5415440;194500827;-;324165823
" ";" ";"2016";491196950;132358497;676941;141048672;-;217112840
" ";" ";"2017";558825079;152253192;2635832;176829509;-;227106545
" ";"211 Ceste"
" ";" ";"2010";530339357;228415140;z;90375843;z;119866671
" ";" ";"2011";380343954;84837781;z;z;z;z
" ";" ";"2012";277287380;68235848;z;z;-;100362487
" ";" ";"2013";z;73972605;z;z;-;147859427
" ";" ";"2014";332034766;z;z;74089503;-;186491898
" ";" ";"2015";366795014;77510831;5415440;79797423;-;204071321
" ";" ";"2016";361958274;91341062;595262;119759315;-;150262635
" ";" ";"2017";391282089;z;z;z;-;149563931
" ";"2111 Avtoceste, hitre ceste, glavne ceste in regionalne ceste"
" ";" ";"2010";226063519;149383392;-;28098275;20664055;27917797
" ";" ";"2011";120588782;37536268;-;29009452;16322971;37720090
" ";" ";"2012";85199651;29206699;z;z;-;28335154
" ";" ";"2013";z;19739941;z;z;-;50973220
" ";" ";"2014";100208476;23091469;z;21564464;-;z
" ";" ";"2015";149187930;37255259;z;z;-;74284149
" ";" ";"2016";219679108;69423882;-;74526801;-;75728424
" ";" ";"2017";240157570;82696891;1533878;76275249;-;79651552
" ";"2112 Lokalne ceste in javne poti, nekategorizirane ceste in gozdne ceste"
" ";" ";"2010";304275838;79031748;z;62277569;z;91948874
" ";" ";"2011";259755173;47301513;z;z;z;z
" ";" ";"2012";192087729;39029150;z;z;-;72027333
" ";" ";"2013";195311716;54232665;1612948;42579897;-;96886207
" ";" ";"2014";231826290;z;z;52525038;-;z
" ";" ";"2015";217607084;40255572;z;z;-;129787172
" ";" ";"2016";142279166;21917179;595262;45232514;-;74534210
" ";" ";"2017";151124519;z;z;z;-;69912379
" ";"212 Železniške proge"
" ";" ";"2010";162945572;z;-;z;38406346;52943240
" ";" ";"2011";178213470;750018;-;z;63625727;z
" ";" ";"2012";109969008;z;-;z;-;61722083
" ";" ";"2013";163111943;2382373;-;97224128;-;63505442
" ";" ";"2014";228891189;z;z;112889248;-;z
" ";" ";"2015";243879362;36867746;-;102515266;-;104496350
" ";" ";"2016";68818497;5012459;-;7557856;-;56248183
" ";" ";"2017";98790602;12491620;-;32791106;-;53507875
" ";"2121 Glavne in regionalne železniške proge"
" ";" ";"2010";z;z;-;z;38406346;52943240
" ";" ";"2011";178213470;750018;-;z;63625727;z
" ";" ";"2012";109841694;-;-;z;-;z
" ";" ";"2013";163111943;2382373;-;97224128;-;63505442
" ";" ";"2014";228702003;z;z;112889248;-;z
" ";" ";"2015";z;36867746;-;102515266;-;z
" ";" ";"2016";68779296;5012459;-;7557856;-;56208982
" ";" ";"2017";98525594;12491620;-;z;-;z
" ";"2122 Mestne železniške proge"
" ";" ";"2010";z;z;-;z;-;-
" ";" ";"2011";-;-;-;-;-;-
" ";" ";"2012";127315;z;-;z;-;z
" ";" ";"2013";-;-;-;-;-;-
" ";" ";"2014";189186;z;-;-;-;z
" ";" ";"2015";z;-;-;-;-;z
" ";" ";"2016";39201;-;-;-;-;39201
" ";" ";"2017";265008;-;-;z;-;z
" ";"213 Letališke steze"
" ";" ";"2010";z;z;-;-;z;-
" ";" ";"2011";931666;485049;-;-;z;z
" ";" ";"2012";4637693;z;-;-;-;z
" ";" ";"2013";z;z;-;-;-;z
" ";" ";"2014";z;z;-;2692599;-;1175379
" ";" ";"2015";2747125;1408902;-;582329;-;755894
" ";" ";"2016";483386;z;-;41235;-;z
" ";" ";"2017";4724542;-;-;z;-;z
" ";"2130 Letališke steze"
" ";" ";"2010";z;z;-;-;z;-
" ";" ";"2011";931666;485049;-;-;z;z
" ";" ";"2012";4637693;z;-;-;-;z
" ";" ";"2013";z;z;-;-;-;z
" ";" ";"2014";z;z;-;2692599;-;1175379
" ";" ";"2015";2747125;1408902;-;582329;-;755894
" ";" ";"2016";483386;z;-;41235;-;z
" ";" ";"2017";4724542;-;-;z;-;z
" ";"214 Mostovi, viadukti, predori in podhodi"
" ";" ";"2010";54056997;42543061;-;6206875;3631146;1675914
" ";" ";"2011";41755674;35140617;-;2889421;2302538;1423098
" ";" ";"2012";61208805;z;z;z;-;4791218
" ";" ";"2013";z;6300277;z;3112717;-;z
" ";" ";"2014";38931393;22568242;-;3614237;-;12748913
" ";" ";"2015";32642151;18712504;-;6105858;-;7823790
" ";" ";"2016";11394078;z;z;4673691;-;z
" ";" ";"2017";21920948;z;-;9585614;-;z
" ";"2141 Mostovi in viadukti"
" ";" ";"2010";31046891;21273671;-;z;z;1140967
" ";" ";"2011";25190440;19269515;-;z;z;z
" ";" ";"2012";34978333;z;z;z;-;3159462
" ";" ";"2013";22092283;6300277;-;z;-;z
" ";" ";"2014";29397522;15991965;-;z;-;z
" ";" ";"2015";21374601;14372833;-;2711867;-;4289900
" ";" ";"2016";8104376;z;z;3571501;-;z
" ";" ";"2017";16602464;4624396;-;8530346;-;3447722
" ";"2142 Predori in podhodi"
" ";" ";"2010";23010106;21269390;-;z;z;534948
" ";" ";"2011";16565234;15871103;-;z;z;z
" ";" ";"2012";26230472;z;-;z;-;1631756
" ";" ";"2013";z;-;z;z;-;475314
" ";" ";"2014";9533871;6576277;-;z;-;z
" ";" ";"2015";11267551;4339670;-;3393991;-;3533889
" ";" ";"2016";3289703;1140625;-;1102190;-;1046888
" ";" ";"2017";5318484;z;-;1055269;-;z
" ";"215 Pristanišèa, plovni kanali, jezovi in vodne pregrade ter drugi vodni objekti"
" ";" ";"2010";z;z;z;z;13890874;5229641
" ";" ";"2011";26772519;8308305;-;4686247;10028978;3748989
" ";" ";"2012";20316713;z;-;z;-;8790178
" ";" ";"2013";z;z;-;z;-;z
" ";" ";"2014";z;z;-;4278225;-;z
" ";" ";"2015";33245882;20727462;-;5499951;-;7018469
" ";" ";"2016";48279250;32063300;z;9016575;-;z
" ";" ";"2017";42106899;19965290;z;z;-;18573044
" ";"2151 Pristanišèa in plovni kanali"
" ";" ";"2010";10501819;5291581;-;3565281;z;z
" ";" ";"2011";5682690;z;-;z;z;z
" ";" ";"2012";937745;-;-;z;-;z
" ";" ";"2013";z;-;-;-;-;z
" ";" ";"2014";14870256;z;-;-;-;z
" ";" ";"2015";4063440;z;-;z;-;z
" ";" ";"2016";11171752;13285;-;8473019;-;2685448
" ";" ";"2017";5880292;z;-;2755297;-;z
" ";"2152 Jezovi, vodne pregrade in drugi vodni objekti"
" ";" ";"2010";z;z;z;z;11899625;4247556
" ";" ";"2011";19996951;6735553;-;1257377;8593046;3410976
" ";" ";"2012";17931955;z;-;z;-;7848326
" ";" ";"2013";z;z;-;z;-;7265468
" ";" ";"2014";31942549;21870281;-;4278225;-;5794043
" ";" ";"2015";28733955;18077234;-;z;-;z
