"";"Investitor";"Regija";"Tip.objekta";"Leto";"Število.stavb";"Površina.stavb.......m2."
"162";"Investitor - SKUPAJ";"Savinjska";"Nestanovanjske stavbe";2014;80;35771
"163";"Investitor - SKUPAJ";"Savinjska";"Nestanovanjske stavbe";2015;357;73412
"164";"Investitor - SKUPAJ";"Savinjska";"Nestanovanjske stavbe";2016;676;141907
"165";"Investitor - SKUPAJ";"Savinjska";"Nestanovanjske stavbe";2017;646;127093
"166";"Investitor - SKUPAJ";"Zasavska";"Tip stavbe - SKUPAJ";2007;55;30768
"167";"Investitor - SKUPAJ";"Zasavska";"Tip stavbe - SKUPAJ";2008;44;16354
"168";"Investitor - SKUPAJ";"Zasavska";"Tip stavbe - SKUPAJ";2009;35;9691
"169";"Investitor - SKUPAJ";"Zasavska";"Tip stavbe - SKUPAJ";2010;37;37389
"170";"Investitor - SKUPAJ";"Zasavska";"Tip stavbe - SKUPAJ";2011;32;8057
"171";"Investitor - SKUPAJ";"Zasavska";"Tip stavbe - SKUPAJ";2012;30;9006
"172";"Investitor - SKUPAJ";"Zasavska";"Tip stavbe - SKUPAJ";2013;40;13963
"173";"Investitor - SKUPAJ";"Zasavska";"Tip stavbe - SKUPAJ";2014;29;6785
"174";"Investitor - SKUPAJ";"Zasavska";"Tip stavbe - SKUPAJ";2015;92;21799
"175";"Investitor - SKUPAJ";"Zasavska";"Tip stavbe - SKUPAJ";2016;90;17721
"176";"Investitor - SKUPAJ";"Zasavska";"Tip stavbe - SKUPAJ";2017;61;23048
"177";"Investitor - SKUPAJ";"Zasavska";"Stanovanjske stavbe";2007;39;12279
"178";"Investitor - SKUPAJ";"Zasavska";"Stanovanjske stavbe";2008;37;11291
"179";"Investitor - SKUPAJ";"Zasavska";"Stanovanjske stavbe";2009;25;6489
"180";"Investitor - SKUPAJ";"Zasavska";"Stanovanjske stavbe";2010;19;30093
"181";"Investitor - SKUPAJ";"Zasavska";"Stanovanjske stavbe";2011;24;6741
"182";"Investitor - SKUPAJ";"Zasavska";"Stanovanjske stavbe";2012;25;7646
"183";"Investitor - SKUPAJ";"Zasavska";"Stanovanjske stavbe";2013;23;6582
"184";"Investitor - SKUPAJ";"Zasavska";"Stanovanjske stavbe";2014;26;6389
"185";"Investitor - SKUPAJ";"Zasavska";"Stanovanjske stavbe";2015;44;16146
"186";"Investitor - SKUPAJ";"Zasavska";"Stanovanjske stavbe";2016;39;9550
"187";"Investitor - SKUPAJ";"Zasavska";"Stanovanjske stavbe";2017;37;8918
"188";"Investitor - SKUPAJ";"Zasavska";"Nestanovanjske stavbe";2007;16;18489
"189";"Investitor - SKUPAJ";"Zasavska";"Nestanovanjske stavbe";2008;7;5063
"190";"Investitor - SKUPAJ";"Zasavska";"Nestanovanjske stavbe";2009;10;3202
"191";"Investitor - SKUPAJ";"Zasavska";"Nestanovanjske stavbe";2010;18;7296
"192";"Investitor - SKUPAJ";"Zasavska";"Nestanovanjske stavbe";2011;8;1316
"193";"Investitor - SKUPAJ";"Zasavska";"Nestanovanjske stavbe";2012;5;1360
"194";"Investitor - SKUPAJ";"Zasavska";"Nestanovanjske stavbe";2013;17;7381
"195";"Investitor - SKUPAJ";"Zasavska";"Nestanovanjske stavbe";2014;3;396
"196";"Investitor - SKUPAJ";"Zasavska";"Nestanovanjske stavbe";2015;48;5653
