"";"Investitor";"Vrsta.objekta";"Leto";"Tip.gradbene.aktivnosti...SKUPAJ";"Novogradnja";"Povečava";"Rekonstrukcija.in.sprememba.namembnosti";"Investicijska.vzdrževalna.dela";"Redna.vzdrževalna.dela"
"185";"Investitor - SKUPAJ";"1252 Rezervoarji, silosi in skladišča";2010;"8057336";"6140268";"760174";"203704";"830193";"122996"
"186";"Investitor - SKUPAJ";"1252 Rezervoarji, silosi in skladišča";2011;"5166340";"2577255";"z";"z";"2150443";"210245"
"187";"Investitor - SKUPAJ";"1252 Rezervoarji, silosi in skladišča";2012;"4624224";"2767782";"z";"z";NA;"863809"
"188";"Investitor - SKUPAJ";"1252 Rezervoarji, silosi in skladišča";2013;"6009765";"5191118";"z";"z";NA;"z"
"189";"Investitor - SKUPAJ";"1252 Rezervoarji, silosi in skladišča";2014;"z";"3630133";NA;"z";"z";"z"
"190";"Investitor - SKUPAJ";"1252 Rezervoarji, silosi in skladišča";2015;"12891290";"9372538";"147315";"2969375";NA;"402063"
"191";"Investitor - SKUPAJ";"1252 Rezervoarji, silosi in skladišča";2016;"7797740";"5974326";"z";"1034426";"z";"616389"
"192";"Investitor - SKUPAJ";"1252 Rezervoarji, silosi in skladišča";2017;"17881963";"z";"794531";"1034908";NA;"z"
"193";"Investitor - SKUPAJ";"126 Stavbe splošnega družbenega pomena";2010;"250791839";"182565940";"9333157";"35523427";"21951646";"1417668"
"194";"Investitor - SKUPAJ";"126 Stavbe splošnega družbenega pomena";2011;"190789284";"113553182";"9165768";"30861980";"31746157";"5462199"
"195";"Investitor - SKUPAJ";"126 Stavbe splošnega družbenega pomena";2012;"178092684";"105359901";"1775365";"34356253";"200078";"36401087"
"196";"Investitor - SKUPAJ";"126 Stavbe splošnega družbenega pomena";2013;"176983071";"z";"6084557";"35636669";"4869747";"z"
"197";"Investitor - SKUPAJ";"126 Stavbe splošnega družbenega pomena";2014;"z";"z";"7357749";"z";"4755320";"41344243"
"198";"Investitor - SKUPAJ";"126 Stavbe splošnega družbenega pomena";2015;"147644575";"80245819";"3979535";"39623060";"782634";"23013527"
