"";"Občine";"Leto";"Število.obsojenih.polnoletnih.in.mladoletnih.oseb"
"401";"Dol pri Ljubljani";2010;"14"
"402";"Dol pri Ljubljani";2011;"5"
"403";"Dol pri Ljubljani";2012;"5"
"404";"Dol pri Ljubljani";2013;"12"
"405";"Dol pri Ljubljani";2014;"13"
"406";"Dol pri Ljubljani";2015;"20"
"407";"Dol pri Ljubljani";2016;"10"
"408";"Dolenjske Toplice";2016;NA
"409";"Dolenjske Toplice";2006;"7"
"410";"Dolenjske Toplice";2007;"9"
"411";"Dolenjske Toplice";2008;"12"
"412";"Dolenjske Toplice";2009;"13"
"413";"Dolenjske Toplice";2010;"15"
"414";"Dolenjske Toplice";2011;"8"
"415";"Dolenjske Toplice";2012;"13"
"416";"Dolenjske Toplice";2013;"13"
"417";"Dolenjske Toplice";2014;"9"
"418";"Dolenjske Toplice";2015;"10"
"419";"Dolenjske Toplice";2016;"11"
"420";"Domžale";2016;NA
"421";"Domžale";2006;"112"
"422";"Domžale";2007;"117"
"423";"Domžale";2008;"179"
"424";"Domžale";2009;"93"
"425";"Domžale";2010;"93"
"426";"Domžale";2011;"111"
"427";"Domžale";2012;"111"
"428";"Domžale";2013;"152"
"429";"Domžale";2014;"109"
"430";"Domžale";2015;"99"
"431";"Domžale";2016;"116"
"432";"Dornava";2016;NA
"433";"Dornava";2006;"6"
"434";"Dornava";2007;"8"
"435";"Dornava";2008;"14"
"436";"Dornava";2009;"11"
"437";"Dornava";2010;"10"
"438";"Dornava";2011;"11"
"439";"Dornava";2012;"4"
"440";"Dornava";2013;"17"
"441";"Dornava";2014;"3"
"442";"Dornava";2015;"7"
"443";"Dornava";2016;"12"
"444";"Dravograd";2016;NA
"445";"Dravograd";2006;"42"
"446";"Dravograd";2007;"30"
"447";"Dravograd";2008;"35"
"448";"Dravograd";2009;"49"
"449";"Dravograd";2010;"43"
"450";"Dravograd";2011;"29"
"451";"Dravograd";2012;"34"
"452";"Dravograd";2013;"43"
"453";"Dravograd";2014;"34"
"454";"Dravograd";2015;"23"
"455";"Dravograd";2016;"19"
"456";"Duplek";2016;NA
"457";"Duplek";2006;"17"
"458";"Duplek";2007;"23"
"459";"Duplek";2008;"36"
"460";"Duplek";2009;"30"
"461";"Duplek";2010;"31"
"462";"Duplek";2011;"29"
"463";"Duplek";2012;"28"
"464";"Duplek";2013;"46"
"465";"Duplek";2014;"27"
"466";"Duplek";2015;"33"
"467";"Duplek";2016;"26"
"468";"Gorenja vas - Poljane";2016;NA
"469";"Gorenja vas - Poljane";2006;"11"
"470";"Gorenja vas - Poljane";2007;"9"
"471";"Gorenja vas - Poljane";2008;"6"
"472";"Gorenja vas - Poljane";2009;"6"
"473";"Gorenja vas - Poljane";2010;"z"
"474";"Gorenja vas - Poljane";2011;"5"
"475";"Gorenja vas - Poljane";2012;"z"
"476";"Gorenja vas - Poljane";2013;"7"
"477";"Gorenja vas - Poljane";2014;"14"
"478";"Gorenja vas - Poljane";2015;"13"
"479";"Gorenja vas - Poljane";2016;"7"
"480";"Gorišnica";2016;NA
"481";"Gorišnica";2006;"17"
"482";"Gorišnica";2007;"19"
"483";"Gorišnica";2008;"18"
"484";"Gorišnica";2009;"17"
"485";"Gorišnica";2010;"16"
"486";"Gorišnica";2011;"11"
"487";"Gorišnica";2012;"13"
"488";"Gorišnica";2013;"23"
"489";"Gorišnica";2014;"12"
"490";"Gorišnica";2015;"13"
"491";"Gorišnica";2016;"4"
"492";"Gorje";2016;NA
"493";"Gorje";2006;"0"
"494";"Gorje";2007;"0"
"495";"Gorje";2008;"6"
"496";"Gorje";2009;"4"
"497";"Gorje";2010;"4"
"498";"Gorje";2011;"5"
"499";"Gorje";2012;"4"
"500";"Gorje";2013;"5"
"501";"Gorje";2014;"9"
"502";"Gorje";2015;"6"
"503";"Gorje";2016;"5"
"504";"Gornja Radgona";2016;NA
"505";"Gornja Radgona";2006;"60"
"506";"Gornja Radgona";2007;"57"
"507";"Gornja Radgona";2008;"56"
"508";"Gornja Radgona";2009;"61"
"509";"Gornja Radgona";2010;"56"
"510";"Gornja Radgona";2011;"53"
"511";"Gornja Radgona";2012;"47"
"512";"Gornja Radgona";2013;"41"
"513";"Gornja Radgona";2014;"34"
"514";"Gornja Radgona";2015;"39"
"515";"Gornja Radgona";2016;"39"
"516";"Gornji Grad";2016;NA
"517";"Gornji Grad";2006;"0"
"518";"Gornji Grad";2007;"z"
"519";"Gornji Grad";2008;"z"
"520";"Gornji Grad";2009;"5"
"521";"Gornji Grad";2010;"z"
"522";"Gornji Grad";2011;"0"
"523";"Gornji Grad";2012;"5"
"524";"Gornji Grad";2013;"5"
"525";"Gornji Grad";2014;"5"
"526";"Gornji Grad";2015;"3"
"527";"Gornji Grad";2016;"5"
"528";"Gornji Petrovci";2016;NA
"529";"Gornji Petrovci";2006;"5"
"530";"Gornji Petrovci";2007;"10"
"531";"Gornji Petrovci";2008;"9"
"532";"Gornji Petrovci";2009;"3"
"533";"Gornji Petrovci";2010;"15"
"534";"Gornji Petrovci";2011;"6"
"535";"Gornji Petrovci";2012;"11"
"536";"Gornji Petrovci";2013;"7"
"537";"Gornji Petrovci";2014;"9"
"538";"Gornji Petrovci";2015;"11"
"539";"Gornji Petrovci";2016;"3"
"540";"Grad";2016;NA
"541";"Grad";2006;"10"
"542";"Grad";2007;"7"
"543";"Grad";2008;"6"
"544";"Grad";2009;"3"
"545";"Grad";2010;"5"
"546";"Grad";2011;"4"
"547";"Grad";2012;"5"
"548";"Grad";2013;"7"
"549";"Grad";2014;"0"
"550";"Grad";2015;"3"
"551";"Grad";2016;"5"
"552";"Grosuplje";2016;NA
"553";"Grosuplje";2006;"50"
"554";"Grosuplje";2007;"69"
"555";"Grosuplje";2008;"93"
"556";"Grosuplje";2009;"58"
"557";"Grosuplje";2010;"53"
"558";"Grosuplje";2011;"103"
"559";"Grosuplje";2012;"100"
"560";"Grosuplje";2013;"123"
"561";"Grosuplje";2014;"134"
