"Ocena dokonèanih stanovanj - izbrani kazalniki, po obèinah Slovenije,"
"letno po: OBÈINE, LETO , KAZALNIK"

" ";" ";"Število dokonèanih stanovanj na 1000 prebivalcev";"Povpreèna površina dokonèanih stanovanj [m2]"
" ";"2006";7.7;123
" ";"2007";2.5;88
" ";"2008";3.2;160
" ";"2009";4.7;123
" ";"2010";5.4;165
" ";"2011";1.5;211
" ";"2012";2.4;184
" ";"2013";1.3;152
" ";"2014";1.4;131
" ";"2015";2.1;186
" ";"2016";1.8;178
" ";"2017";2.0;133
"Ilirska Bistrica"
" ";"2002";1.5;139
" ";"2003";1.5;136
" ";"2004";1.5;126
" ";"2005";1.8;118
" ";"2006";1.8;123
" ";"2007";1.8;139
" ";"2008";1.3;144
" ";"2009";3.9;100
" ";"2010";1.6;152
" ";"2011";1.0;148
" ";"2012";1.4;150
" ";"2013";1.4;140
" ";"2014";1.0;130
" ";"2015";2.0;126
" ";"2016";0.8;145
" ";"2017";0.7;149
"Ivanèna Gorica"
" ";"2002";5.3;150
" ";"2003";4.3;176
" ";"2004";3.1;180
" ";"2005";5.4;159
" ";"2006";4.7;157
" ";"2007";8.3;98
" ";"2008";8.2;97
" ";"2009";4.3;190
" ";"2010";7.2;155
" ";"2011";4.5;179
" ";"2012";2.8;195
" ";"2013";3.0;208
" ";"2014";2.2;173
" ";"2015";2.4;152
" ";"2016";2.6;159
" ";"2017";3.3;190
"Izola/Isola"
" ";"2002";3.7;79
" ";"2003";2.6;75
" ";"2004";5.7;77
" ";"2005";17.6;73
" ";"2006";8.5;106
" ";"2007";8.8;98
" ";"2008";4.9;99
" ";"2009";7.2;77
" ";"2010";2.5;91
" ";"2011";2.5;93
" ";"2012";14.2;60
" ";"2013";0.9;87
" ";"2014";1.0;107
" ";"2015";2.5;86
" ";"2016";6.0;78
" ";"2017";0.9;106
"Jesenice"
" ";"2002";2.3;67
" ";"2003";1.3;117
" ";"2004";2.9;67
" ";"2005";0.9;102
" ";"2006";1.4;120
" ";"2007";1.8;89
" ";"2008";9.1;72
" ";"2009";2.5;88
" ";"2010";3.0;69
" ";"2011";0.7;133
" ";"2012";0.5;135
" ";"2013";0.7;130
" ";"2014";0.5;126
" ";"2015";0.4;146
" ";"2016";0.4;159
" ";"2017";0.7;116
"Jezersko"
" ";"2002";1.5;142
" ";"2003";2.9;156
" ";"2004";1.5;93
" ";"2005";1.5;148
" ";"2006";2.9;218
" ";"2007";8.6;140
" ";"2008";0.0;0
" ";"2009";0.0;0
" ";"2010";1.5;124
" ";"2011";0.0;0
" ";"2012";3.1;175
" ";"2013";4.7;99
" ";"2014";0.0;0
" ";"2015";1.6;64
" ";"2016";0.0;0
" ";"2017";1.6;127
"Juršinci"
" ";"2002";4.7;118
" ";"2003";1.3;108
" ";"2004";5.2;98
" ";"2005";2.2;157
" ";"2006";4.3;97
" ";"2007";3.4;273
" ";"2008";3.4;146
" ";"2009";1.7;82
" ";"2010";2.6;143
" ";"2011";2.1;230
" ";"2012";0.8;167
