"Ocena dokonèanih stanovanj - izbrani kazalniki, po obèinah Slovenije,"
"letno po: OBÈINE, LETO , KAZALNIK"

" ";" ";"Število dokonèanih stanovanj na 1000 prebivalcev";"Povpreèna površina dokonèanih stanovanj [m2]"
" ";"2004";0.3;67
" ";"2005";0.3;159
" ";"2006";0.8;98
" ";"2007";0.3;167
" ";"2008";0.5;234
" ";"2009";10.7;56
" ";"2010";0.3;161
" ";"2011";1.3;74
" ";"2012";2.1;71
" ";"2013";1.3;125
" ";"2014";0.8;350
" ";"2015";1.0;177
" ";"2016";1.0;149
" ";"2017";0.8;134
"Tržiè"
" ";"2002";2.6;93
" ";"2003";2.3;77
" ";"2004";5.0;87
" ";"2005";3.6;85
" ";"2006";1.4;125
" ";"2007";4.0;106
" ";"2008";1.2;138
" ";"2009";1.8;98
" ";"2010";1.2;151
" ";"2011";0.8;180
" ";"2012";1.4;163
" ";"2013";1.2;137
" ";"2014";0.7;154
" ";"2015";1.2;150
" ";"2016";0.9;141
" ";"2017";0.5;124
"Turnišèe"
" ";"2002";3.7;147
" ";"2003";3.7;159
" ";"2004";2.0;187
" ";"2005";1.4;152
" ";"2006";1.7;175
" ";"2007";1.1;200
" ";"2008";1.2;159
" ";"2009";4.1;181
" ";"2010";2.1;108
" ";"2011";1.5;167
" ";"2012";3.3;224
" ";"2013";2.7;135
" ";"2014";1.8;117
" ";"2015";2.4;141
" ";"2016";0.9;128
" ";"2017";2.5;89
"Velenje"
" ";"2002";2.9;84
" ";"2003";1.2;121
" ";"2004";3.4;77
" ";"2005";1.2;148
" ";"2006";0.8;145
" ";"2007";2.1;78
" ";"2008";1.7;153
" ";"2009";1.0;182
" ";"2010";10.1;70
" ";"2011";5.1;74
" ";"2012";1.0;187
" ";"2013";2.2;137
" ";"2014";0.7;189
" ";"2015";0.5;142
" ";"2016";0.6;138
" ";"2017";0.5;138
"Velika Polana"
" ";"2002";2.6;153
" ";"2003";2.6;187
" ";"2004";1.9;216
" ";"2005";2.6;204
" ";"2006";1.3;123
" ";"2007";2.0;122
" ";"2008";2.0;223
" ";"2009";0.7;194
" ";"2010";3.4;103
" ";"2011";3.4;195
" ";"2012";1.4;223
" ";"2013";0.7;125
" ";"2014";2.1;88
" ";"2015";4.1;83
" ";"2016";1.4;130
" ";"2017";2.8;133
"Velike Lašèe"
" ";"2002";7.4;87
" ";"2003";1.3;102
" ";"2004";3.3;127
" ";"2005";2.3;129
" ";"2006";2.7;146
" ";"2007";2.2;81
" ";"2008";2.7;164
" ";"2009";2.2;218
" ";"2010";1.9;177
" ";"2011";1.0;192
" ";"2012";1.2;232
" ";"2013";0.7;212
" ";"2014";1.7;229
" ";"2015";1.9;165
" ";"2016";2.6;189
" ";"2017";1.9;142
"Veržej"
" ";"2002";2.9;117
" ";"2003";2.9;130
" ";"2004";2.2;127
" ";"2005";0.7;80
" ";"2006";8.9;75
" ";"2007";1.5;86
" ";"2008";1.5;141
" ";"2009";2.3;122
" ";"2010";3.1;82
" ";"2011";3.1;128
" ";"2012";1.6;110
" ";"2013";4.6;104
" ";"2014";1.6;144
" ";"2015";0.8;88
" ";"2016";4.6;87
" ";"2017";10.0;60
"Videm"
" ";"2002";3.2;95
" ";"2003";3.9;125
" ";"2004";2.8;136
" ";"2005";1.8;97
" ";"2006";4.5;129
" ";"2007";2.5;148
" ";"2008";3.3;130
" ";"2009";1.6;121
" ";"2010";1.6;127
" ";"2011";4.3;142
" ";"2012";1.6;169
" ";"2013";0.5;100
" ";"2014";4.0;79
" ";"2015";1.1;96
" ";"2016";1.1;124
" ";"2017";2.0;166
"Vipava"
" ";"2002";4.0;162
" ";"2003";4.2;160
" ";"2004";11.6;100
" ";"2005";3.4;167
" ";"2006";2.4;153
" ";"2007";6.1;109
" ";"2008";12.3;83
" ";"2009";8.6;86
" ";"2010";3.6;182
" ";"2011";7.4;126
" ";"2012";2.5;204
" ";"2013";2.5;191
" ";"2014";1.8;179
" ";"2015";2.3;152
" ";"2016";3.4;168
" ";"2017";1.6;238
"Vitanje"
" ";"2002";6.0;96
" ";"2003";3.4;151
" ";"2004";1.3;178
" ";"2005";3.0;235
" ";"2006";1.7;185
" ";"2007";1.3;246
" ";"2008";3.5;215
" ";"2009";1.7;213
" ";"2010";4.4;143
" ";"2011";2.6;157
" ";"2012";3.1;203
" ";"2013";0.4;188
" ";"2014";0.4;64
" ";"2015";1.8;146
" ";"2016";0.4;175
" ";"2017";0.9;122
"Vodice"
" ";"2002";1.8;121
" ";"2003";4.3;176
" ";"2004";6.0;169
" ";"2005";6.4;162
" ";"2006";7.4;166
" ";"2007";8.7;194
" ";"2008";7.3;196
" ";"2009";10.9;184
" ";"2010";6.3;186
" ";"2011";4.3;187
" ";"2012";6.3;113
" ";"2013";1.7;207
" ";"2014";2.7;187
" ";"2015";2.9;186
" ";"2016";2.1;187
" ";"2017";2.7;200
"Vojnik"
" ";"2002";2.1;150
" ";"2003";3.2;161
" ";"2004";2.0;131
" ";"2005";2.0;123
" ";"2006";3.8;113
" ";"2007";3.4;148
" ";"2008";3.8;172
" ";"2009";5.8;153
" ";"2010";4.6;165
" ";"2011";5.1;152
" ";"2012";3.0;132
" ";"2013";2.0;193
" ";"2014";0.9;160
" ";"2015";1.0;158
" ";"2016";2.3;94
" ";"2017";2.9;126
"Vransko"
" ";"2002";1.9;111
" ";"2003";1.9;106
" ";"2004";3.5;169
" ";"2005";1.2;111
" ";"2006";3.2;145
" ";"2007";5.1;209
" ";"2008";63.2;86
" ";"2009";1.5;205
" ";"2010";3.5;144
" ";"2011";0.8;234
" ";"2012";1.9;145
" ";"2013";19.1;123
" ";"2014";1.5;202
" ";"2015";0.8;188
" ";"2016";1.5;137
" ";"2017";1.9;163
"Vrhnika"
" ";"2002";3.0;152
" ";"2003";3.5;104
" ";"2004";5.9;88
" ";"2005";4.7;97
" ";"2006";8.2;90
" ";"2007";17.3;115
" ";"2008";10.4;160
" ";"2009";3.9;153
" ";"2010";4.1;154
" ";"2011";2.6;196
" ";"2012";2.9;186
" ";"2013";3.8;158
" ";"2014";2.3;175
" ";"2015";2.2;179
" ";"2016";1.9;210
" ";"2017";6.7;155
"Vuzenica"
" ";"2002";1.4;103
" ";"2003";4.9;90
" ";"2004";2.8;95
" ";"2005";3.5;80
" ";"2006";1.4;128
" ";"2007";1.8;125
" ";"2008";0.4;164
" ";"2009";2.2;106
" ";"2010";1.5;147
" ";"2011";1.1;173
" ";"2012";0.7;216
" ";"2013";1.5;163
" ";"2014";1.8;149
" ";"2015";1.1;114
" ";"2016";3.4;217
" ";"2017";0.4;170
"Zagorje ob Savi"
" ";"2002";2.5;154
" ";"2003";1.5;183
" ";"2004";1.4;143
" ";"2005";6.2;71
" ";"2006";1.5;159
" ";"2007";1.2;139
" ";"2008";0.7;181
" ";"2009";1.3;148
" ";"2010";1.2;158
" ";"2011";1.5;157
" ";"2012";0.6;158
" ";"2013";0.7;122
" ";"2014";1.0;133
" ";"2015";1.2;157
" ";"2016";1.0;175
" ";"2017";0.7;127
"Zavrè"
" ";"2002";0.0;0
" ";"2003";2.7;46
" ";"2004";2.0;111
" ";"2005";2.7;112
" ";"2006";0.7;96
" ";"2007";2.6;125
" ";"2008";3.3;154
" ";"2009";2.6;124
" ";"2010";0.0;0
" ";"2011";0.6;150
" ";"2012";1.2;160
" ";"2013";1.1;113
" ";"2014";0.6;443
" ";"2015";0.6;60
" ";"2016";1.7;208
" ";"2017";2.2;89
"Zreèe"
" ";"2002";3.3;168
" ";"2003";8.5;148
" ";"2004";1.9;141
" ";"2005";7.4;80
" ";"2006";4.4;127
" ";"2007";3.1;194
" ";"2008";2.6;213
" ";"2009";4.5;148
" ";"2010";2.3;168
" ";"2011";2.0;188
" ";"2012";2.8;130
" ";"2013";1.4;163
" ";"2014";3.1;214
" ";"2015";1.4;140
" ";"2016";2.0;178
" ";"2017";0.6;153
"Žalec"
" ";"2002";3.3;127
" ";"2003";2.3;139
" ";"2004";1.4;199
" ";"2005";1.6;151
" ";"2006";1.3;142
" ";"2007";1.7;130
" ";"2008";1.6;133
" ";"2009";1.9;179
" ";"2010";1.1;152
" ";"2011";2.2;105
" ";"2012";3.2;121
" ";"2013";1.4;135
" ";"2014";0.5;169
" ";"2015";0.9;121
" ";"2016";0.7;153
" ";"2017";1.2;173
"Železniki"
" ";"2002";4.8;132
" ";"2003";1.0;165
" ";"2004";2.2;139
" ";"2005";2.9;132
" ";"2006";1.2;128
" ";"2007";1.2;135
" ";"2008";1.0;228
" ";"2009";1.6;172
" ";"2010";3.1;217
" ";"2011";1.9;203
" ";"2012";1.6;221
" ";"2013";0.9;276
" ";"2014";1.0;95
" ";"2015";1.5;211
" ";"2016";0.9;196
" ";"2017";1.3;237
"Žetale"
" ";"2002";0.0;0
" ";"2003";2.1;117
" ";"2004";2.1;93
" ";"2005";2.1;112
" ";"2006";0.7;140
" ";"2007";2.2;79
" ";"2008";1.5;182
" ";"2009";2.2;128
" ";"2010";0.0;0
" ";"2011";0.7;218
" ";"2012";0.7;162
" ";"2013";0.0;0
" ";"2014";0.0;0
" ";"2015";1.5;127
" ";"2016";5.4;132
" ";"2017";3.1;125
"Žiri"
" ";"2002";1.8;121
" ";"2003";2.7;159
" ";"2004";5.3;150
" ";"2005";1.6;162
" ";"2006";5.3;139
" ";"2007";1.0;276
" ";"2008";1.4;144
" ";"2009";5.3;144
" ";"2010";3.3;233
" ";"2011";4.3;185
" ";"2012";3.2;214
" ";"2013";3.3;192
" ";"2014";3.7;205
" ";"2015";2.9;163
" ";"2016";2.7;185
" ";"2017";2.3;202
"Žirovnica"
" ";"2002";6.6;132
" ";"2003";11.7;125
" ";"2004";2.9;188
" ";"2005";3.1;94
" ";"2006";4.5;164
" ";"2007";4.7;87
" ";"2008";5.6;122
" ";"2009";2.3;149
" ";"2010";3.9;137
" ";"2011";8.7;90
" ";"2012";3.4;166
" ";"2013";0.7;134
" ";"2014";1.8;130
" ";"2015";1.8;160
" ";"2016";2.3;157
" ";"2017";1.1;196
"Žužemberk"
" ";"2002";1.9;172
" ";"2003";2.4;129
" ";"2004";2.6;115
" ";"2005";2.0;132
" ";"2006";2.4;112
" ";"2007";2.0;219
" ";"2008";2.0;111
" ";"2009";0.9;214
" ";"2010";1.8;179
" ";"2011";1.5;186
" ";"2012";0.7;166
" ";"2013";1.1;178
" ";"2014";2.4;206
" ";"2015";3.3;169
" ";"2016";1.5;156
" ";"2017";3.0;147

"Podatki do vkljuèno leta 2007 so objavljeni po Enotni klasifikaciji "
"vrst  "
"objektov [Ur.l.RS, št.33/2003], od leta 2008 naprej pa po "
"Klasifikaciji  "
"vrst objektov [Ur.l.RS, št.109/2011]. "
" "
"Vir: Statistièni urad Republike Slovenije."

"Povezane vsebine: "
"- (seznam "
"HREF=http://www.stat.si/StatWeb/Common/PrikaziDokument.ashx?IdDatotek-"
"e=10040 target=_blank) Metodološka pojasnila "

"Podatki so teritorialno razvršèeni po uredbi o Standardni "
"klasifikaciji teritorialnih enot [(seznam "
"HREF=http://www.stat.si/StatWeb/glavnanavigacija/metode-in-klasifikac-"
"ije/klasifikacije TARGET=_blank) opis in pojasnila], raven SKTE 5. "
"Podatki o spremembah posameznih obèin so dostopni na (seznam "
"HREF=http://www.stat.si/StatWeb/glavnanavigacija/metode-in-klasifikac-"
"ije/klasifikacije/spremembe-obmocij-obcin TARGET=_blank) povezavi. V "
"Seznamu obèin s spremembami obmoèij obèin od leta 1995 dalje je "
"opisana vrsta spremembe, naveden je datum, s katerim je opisana "
"teritorialna sprememba upoštevana pri teritorialnem razvršèanju enot "
"za statistiène namene ter naveden Uradni list, v katerem so bile "
"objavljene omenjene teritorialne opombe. V seznamu obèin je navedeno "
"zadnje veljavno stanje imen obèin. "

