Prebivalstvo po: SPOL, STATISTIÈNA REGIJA, LETO , STAROST;;;;
;;;;
Spol - SKUPAJ;;;;
 ; ;2014;;
 ; ; ;Starost - SKUPAJ;118374
 ; ;2015;;
 ; ; ;Starost - SKUPAJ;118188
 ; ;2016;;
 ; ; ;Starost - SKUPAJ;118064
 ; ;2017;;
 ; ; ;Starost - SKUPAJ;117747
 ; ;2018;;
 ; ; ;Starost - SKUPAJ;117260
 ;Obalno-kraška;;;
 ; ;2000;;
 ; ; ;Starost - SKUPAJ;103328
 ; ;2001;;
 ; ; ;Starost - SKUPAJ;103817
 ; ;2002;;
 ; ; ;Starost - SKUPAJ;104218
 ; ;2003;;
 ; ; ;Starost - SKUPAJ;104559
 ; ;2004;;
 ; ; ;Starost - SKUPAJ;105009
 ; ;2005;;
 ; ; ;Starost - SKUPAJ;105029
 ; ;2006;;
 ; ; ;Starost - SKUPAJ;105632
 ; ;2007;;
 ; ; ;Starost - SKUPAJ;106162
 ; ;2008;;
 ; ; ;Starost - SKUPAJ;107905
 ; ;2009;;
 ; ; ;Starost - SKUPAJ;108778
 ; ;2010;;
 ; ; ;Starost - SKUPAJ;110412
 ; ;2011;;
 ; ; ;Starost - SKUPAJ;110760
 ; ;2012;;
 ; ; ;Starost - SKUPAJ;111423
 ; ;2013;;
 ; ; ;Starost - SKUPAJ;111936
 ; ;2014;;
 ; ; ;Starost - SKUPAJ;112848
 ; ;2015;;
 ; ; ;Starost - SKUPAJ;112773
 ; ;2016;;
 ; ; ;Starost - SKUPAJ;113070
 ; ;2017;;
 ; ; ;Starost - SKUPAJ;113517
 ; ;2018;;
 ; ; ;Starost - SKUPAJ;113961
;;;;
Od objave podatkov o prebivalstvu Slovenije po 1. 1. 2008 uporabljamo ;;;;
na Statistiènem uradu Republike Slovenije (seznam ;;;;
HREF=http://www.stat.si/StatWeb/glavnanavigacija/podatki/prikazistaro-;;;;
novico?IdNovice=2319 TARGET=_blank) spremenjeno statistièno ;;;;
definicijo prebivalstva. To pomeni prelom v èasovni vrsti podatkov, ;;;;
