"";"Občina";"X2005";"X2006";"X2007";"X2008";"X2009";"X2010";"X2011";"X2012";"X2013";"X2014";"X2015";"X2016";"X2017"
"166";"Sveti Jurij v Slov. goricah";740,92;780,68;878,67;930,75;968,49;950,51;992,38;979,45;966,52;957,69;941,34;975,96;1012,1
"167";"Sveti Tomaž";822,02;861,31;925,77;1026,45;1052,42;1010,35;1002,24;981,78;963,87;962,9;960,01;992,2;967,83
"168";"Šalovci";822,59;780,32;805,12;900,89;837,17;913,9;903,6;866,14;865,58;865,65;859,63;905,39;880,19
"169";"Šempeter - Vrtojba";736,58;796,58;846,48;890,02;922,2;988,38;995,64;1001,49;1013,94;1039,13;1035,99;1077,38;1102,55
"170";"Šenčur";707,74;760,41;829,25;878,79;915,27;961,42;987,36;1004,1;1001,62;992,78;1006,03;1014,19;1052,33
"171";"Šentilj";660,48;691,86;738,15;805,67;836,14;864,47;877,71;870,27;889,67;900,07;892,67;909,95;939,29
"172";"Šentjernej";654,47;679,67;743,84;777,31;780,78;871,41;930,27;942,66;985,97;992,39;1035,35;1050,57;1079,79
"173";"Šentjur";639,23;672,56;725,52;794,54;813,23;841,93;870,21;859,93;856,32;869,02;876,08;892,14;918,85
"174";"Šentrupert";695,7;739,44;795,06;908,54;969,99;974,97;987,2;974,52;975,12;1014,4;1001,96;1035,98;1051,72
"175";"Škocjan";663,83;716,88;762,67;850,55;882,51;811,7;864,22;917,77;929,52;950,58;968,94;971,89;995,53
"176";"Škofja Loka";701,32;735,09;788,09;843,47;871,43;919,88;936,3;968,42;995,29;1028,9;1045,01;1055,94;1093,7
"177";"Škofljica";623,12;655,4;707,39;765,26;802,64;837,52;863,13;849,89;857,18;864,42;866,02;878,03;915,15
"178";"Šmarje pri Jelšah";651,04;682,97;724,32;793,42;829,44;841,5;850,54;843,31;848,78;866,04;889,84;908,02;926,08
"179";"Šmarješke Toplice";672,67;708,23;781,44;838,17;869,5;934,17;917,67;900,24;926,77;930,83;933,18;954,21;953,21
"180";"Šmartno ob Paki";642,69;682,36;730,85;777,08;788,26;820,02;836,09;820,71;818,9;822,01;826,76;837,89;887,06
"181";"Šmartno pri Litiji";608,34;641,2;666,02;728,81;735,16;777,31;799,96;805,61;810,3;804,39;809,86;814,2;835,82
"182";"Šoštanj";767,73;832,93;896,64;964,51;987,59;1005,27;1044,68;1063,77;1093,48;1108,43;1075,62;1011,88;1017,91
"183";"Štore";689,27;731,52;803,05;892,38;839,67;928,23;967,92;967,65;990,55;1028,99;1061;1073,51;1160,5
