"Dovoljenja za gradnjo stavb: število stavb, njihova gradbena velikost"
"in stanovanja v njih po: INVESTITOR, STATISTIÈNA REGIJA, TIP STAVBE,"
"LETO , MERITVE"

"Investitor";"Regija";"Tip objekta";"Leto";"Število stavb";"Površina stavb      [m2]"
"Investitor - SKUPAJ"
" ";"SLOVENIJA"
" ";" ";" ";"2015";113;27338
" ";" ";" ";"2016";167;33505
" ";" ";" ";"2017";157;35401
" ";"Goriška"
" ";" ";"Tip stavbe - SKUPAJ"
" ";" ";" ";"2007";342;163149
" ";" ";" ";"2008";332;249596
" ";" ";" ";"2009";333;186817
" ";" ";" ";"2010";236;105471
" ";" ";" ";"2011";253;132749
" ";" ";" ";"2012";217;100212
" ";" ";" ";"2013";258;87973
" ";" ";" ";"2014";210;65252
" ";" ";" ";"2015";453;94712
" ";" ";" ";"2016";430;109471
" ";" ";" ";"2017";357;95307
" ";" ";"Stanovanjske stavbe"
" ";" ";" ";"2007";245;92342
" ";" ";" ";"2008";255;123956
" ";" ";" ";"2009";237;90885
" ";" ";" ";"2010";170;58420
" ";" ";" ";"2011";165;60200
" ";" ";" ";"2012";160;47770
" ";" ";" ";"2013";184;51904
" ";" ";" ";"2014";151;44177
" ";" ";" ";"2015";180;49903
" ";" ";" ";"2016";131;38624
" ";" ";" ";"2017";122;36442
" ";" ";"Nestanovanjske stavbe"
" ";" ";" ";"2007";97;70807
" ";" ";" ";"2008";77;125640
" ";" ";" ";"2009";96;95932
" ";" ";" ";"2010";66;47051
" ";" ";" ";"2011";88;72549
" ";" ";" ";"2012";57;52442
" ";" ";" ";"2013";74;36069
" ";" ";" ";"2014";59;21075
" ";" ";" ";"2015";273;44809
" ";" ";" ";"2016";299;70847
" ";" ";" ";"2017";235;58865
" ";"Obalno-kraška"
" ";" ";"Tip stavbe - SKUPAJ"
" ";" ";" ";"2007";361;215637
" ";" ";" ";"2008";282;201787
" ";" ";" ";"2009";244;112007
" ";" ";" ";"2010";173;180300
" ";" ";" ";"2011";145;136399
" ";" ";" ";"2012";107;42910
" ";" ";" ";"2013";114;31133
" ";" ";" ";"2014";80;31863
" ";" ";" ";"2015";133;50049
" ";" ";" ";"2016";188;53680
" ";" ";" ";"2017";211;67457
" ";" ";"Stanovanjske stavbe"
" ";" ";" ";"2007";305;148318
" ";" ";" ";"2008";240;135965
" ";" ";" ";"2009";217;61146
" ";" ";" ";"2010";142;65096
" ";" ";" ";"2011";130;60583
" ";" ";" ";"2012";91;26663
" ";" ";" ";"2013";99;25739
" ";" ";" ";"2014";69;24887
" ";" ";" ";"2015";117;41802
" ";" ";" ";"2016";106;27181
" ";" ";" ";"2017";112;30620
" ";" ";"Nestanovanjske stavbe"
" ";" ";" ";"2007";56;67319
" ";" ";" ";"2008";42;65822
" ";" ";" ";"2009";27;50861
" ";" ";" ";"2010";31;115204
" ";" ";" ";"2011";15;75816
" ";" ";" ";"2012";16;16247
" ";" ";" ";"2013";15;5394
" ";" ";" ";"2014";11;6976
" ";" ";" ";"2015";16;8247
" ";" ";" ";"2016";82;26499
" ";" ";" ";"2017";99;36837

"Od leta 2015 spremljamo tudi izdana gradbena dovoljenja za "
"nestanovanjske stavbe, ki se uvršèajo med nezahtevne objekte. "
" "
"Vir: Statistièni urad Republike Slovenije."

"Povezane vsebine: "
"- (seznam HREF= "
"http://www.stat.si/StatWeb/Common/PrikaziDokument.ashx?IdDatoteke=8218"
"target=_blank) Metodološka pojasnila"

"Podatki so teritorialno razvršèeni po uredbi o Standardni "
"klasifikaciji teritorialnih enot [(seznam "
"HREF=../database/Meta/Klas/SKTE.htm TARGET=_blank) opis in "
"pojasnila], raven SKTE 3. "
"Opombe o spremembah posameznih regij so zapisane k vsaki spremenjeni "
"regiji in so ob izpisu tabele na zaslon dostopne s klikom na ikono za "
"opombe [zvezdica]. V opombah je na zaèetku naveden datum, s katerim "
"je opisana teritorialna sprememba upoštevana pri teritorialnem "
"razvršèanju enot za statistiène namene. "
" "

"Podatki so teritorialno razvršèeni po Klasifikaciji statistiènih "
"teritorialnih enot v Evropski uniji [The Classification  of "
"Territorial Units for Statistics] – NUTS [(seznam "
"HREF=../database/Meta/Klas/NUTS.htm TARGET=_blank) opis in "
"pojasnila], raven NUTS 3.Opombe o spremembah posameznih regij so "
"zapisane k vsaki spremenjeni regiji in so ob izpisu tabele na zaslon "
"dostopne s klikom na ikono za opombe [zvezdica]. V opombah je na "
"zaèetku naveden datum, s katerim je opisana teritorialna sprememba "
"upoštevana pri teritorialnem razvršèanju enot za statistiène namene."

